date,cases
2020-02-27,0.06580242270853756
2020-02-28,0.06833328512040439
2020-02-29,0.07086414753227122
2020-03-01,0.08351845959160537
2020-03-02,0.0961727716509395
2020-03-03,0.1138888085340073
2020-03-04,0.1391974326526756
2020-03-05,0.16956778159507754
2020-03-06,0.20499985536121318
2020-03-07,0.25308624118668294
2020-03-08,0.28345659012908486
2020-03-09,0.43530833484109466
2020-03-10,0.45302437172416243
2020-03-11,0.5112342071970994
2020-03-12,0.6377773277904409
2020-03-13,0.8098759717973854
2020-03-14,0.9642585789212619
2020-03-15,1.2097522328723445
2020-03-16,1.4881470981776956
2020-03-17,1.8525912854865192
2020-03-18,2.2600601337970785
2020-03-19,2.7004301934619064
2020-03-20,3.247096474425142
2020-03-21,3.907651563922384
2020-03-22,4.6846263243655
2020-03-23,5.669131802581697
2020-03-24,6.691600216975897
2020-03-25,8.055735056972116
2020-03-26,10.275301392179326
2020-03-27,12.439188754325466
2020-03-28,14.08678018445077
2020-03-29,15.997581305410225
2020-03-30,18.78152995846374
2020-03-31,21.722392081052995
2020-04-01,24.946710793771338
2020-04-02,28.32035038878982
2020-04-03,31.810409654754174
2020-04-04,34.91577783411478
2020-04-05,38.474170385199535
2020-04-06,41.407439920553195
2020-04-07,44.391326704144184
2020-04-08,48.19521290918003
2020-04-09,51.10064295800314
